Trace_ID,Phase,Scenario_Tuple,Primary_Intent,Completeness,Interaction_Pattern,User_Behavior,User_Query,Bot_Response_Preview,Action_Taken,Mode_Detected,Success,Error,Open_Code_Notes,Overall_Success
B001,B,"(product_inquiry, partial_info, multi_turn_linear, conversational)",product_inquiry,partial_info,multi_turn_linear,conversational,"Hi there! I'm looking to find out more about mountain bikes, specifically those suitable for beginners. Do you have any models in stock?",Goal: Learn about specific bikes or accessories and their availability | Turns: 4,,,1,,,
B002,B,"(book_appointment, minimal_info, multi_turn_complex, cooperative)",book_appointment,minimal_info,multi_turn_complex,cooperative,"""Hi, I'd like to book an appointment for my bike. Can you help with that?""","Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 5",,,1,,,
B003,B,"(maintenance_tips, no_info, multi_turn_complex, distracted)",maintenance_tips,no_info,multi_turn_complex,distracted,Hey there! I'm thinking about doing some maintenance on my bike but not really sure where to start. Any tips or advice you could share?,Goal: Get practical advice on bike maintenance or care | Turns: 1,,,1,,,
B004,B,"(policy_question, complete_upfront, multi_turn_linear, cooperative)",policy_question,complete_upfront,multi_turn_linear,cooperative,"Hi there! I'm planning to purchase a bike from your shop and would like to understand your store policies. Could you please provide detailed information on your return policy, warranty terms, and delivery options? Thanks!","Goal: Understand store policies regarding returns, warranties, or delivery | Turns: 2",,,1,,,
B005,B,"(recall_booking, partial_info, multi_turn_linear, corrective)",recall_booking,partial_info,multi_turn_linear,corrective,"Hi, I made a booking for a bike tune-up a while ago, but I can't remember the exact date. Can you help me find the details with just my last name?",Goal: Successfully recall or reference a previously made booking | Turns: 5,,,1,,,
B006,B,"(book_appointment, complete_upfront, multi_turn_linear, cooperative)",book_appointment,complete_upfront,multi_turn_linear,cooperative,"Hi there! I'd like to book a service appointment for my bike. I'm looking for a tune-up on Wednesday, October 25th, preferably in the morning. Can you help me with that?","Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 5",,,1,,,
B007,B,"(product_inquiry, partial_info, mixed_intent, distracted)",product_inquiry,partial_info,mixed_intent,distracted,"Hey, I'm interested in a new bike or maybe just some accessories, but I can't remember the specific names right now. Can you help me figure out what's available?",Goal: Learn about specific bikes or accessories and their availability | Turns: 3,,,1,,,
B008,B,"(book_appointment, partial_info, mixed_intent, distracted)",book_appointment,partial_info,mixed_intent,distracted,"Hey, can I schedule a bike tune-up? I think I need it done soon, maybe this week...?","Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 5",,,1,,,
B009,B,"(policy_question, minimal_info, multi_turn_complex, cooperative)",policy_question,minimal_info,multi_turn_complex,cooperative,Hi there! Can you tell me about your store's return policy for bikes?,"Goal: Understand store policies regarding returns, warranties, or delivery | Turns: 2",,,1,,,
B010,B,"(recall_booking, no_info, multi_turn_complex, cooperative)",recall_booking,no_info,multi_turn_complex,cooperative,"Hi! I made a bike service booking with you recently, but I can't remember the details. Could you help me find it?",Goal: Successfully recall or reference a previously made booking | Turns: 5,,,1,,,
B011,B,"(book_appointment, no_info, multi_turn_linear, cooperative)",book_appointment,no_info,multi_turn_linear,cooperative,Hi there! I'm looking to book a service appointment for my bike. Can you help me with that?,"Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 5",,,1,,,
B012,B,"(what_can_you_do, partial_info, mixed_intent, corrective)",what_can_you_do,partial_info,mixed_intent,corrective,Hi there! I'm interested in learning more about what your bike shop offers. Can you tell me a bit about your services?,Goal: Complete a what_can_you_do interaction successfully | Turns: 1,,,1,,,
B013,B,"(shop_info, minimal_info, multi_turn_linear, cooperative)",shop_info,minimal_info,multi_turn_linear,cooperative,"""Hi there! Can you tell me what your opening hours are and where you're located?""","Goal: Get specific information about shop hours, location, or services | Turns: 3",,,1,,,
B014,B,"(book_appointment, partial_info, multi_turn_complex, canceling)",book_appointment,partial_info,multi_turn_complex,canceling,"Hi! I need to book a service appointment for my bike, but I’m not sure about the available dates. Could you help me with that?","Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 4",,,1,,,
B015,B,"(product_inquiry, complete_upfront, multi_turn_complex, cooperative)",product_inquiry,complete_upfront,multi_turn_complex,cooperative,Hello! I'm interested in exploring some hybrid bikes and also looking for a sturdy bike lock. Could you provide information on what's currently available in your shop?,Goal: Learn about specific bikes or accessories and their availability | Turns: 3,,,1,,,
B016,B,"(recall_booking, minimal_info, mixed_intent, conversational)",recall_booking,minimal_info,mixed_intent,conversational,"""Hi, I made a booking for a bike service recently, but I can’t find the confirmation details. Can you help me with that?""",Goal: Successfully recall or reference a previously made booking | Turns: 5,,,1,,,
B017,B,"(book_appointment, complete_upfront, multi_turn_complex, cooperative)",book_appointment,complete_upfront,multi_turn_complex,cooperative,Hello! I'd like to book a service appointment for a tune-up on my bike. Could we schedule it for next Wednesday at 10 AM?,"Goal: Successfully book a service appointment by providing service type, date, and time | Turns: 5",,,1,,,
